,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Of-Line Quarterly Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)","Total Waste Quantity 
(Mg/Qtr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/Qtr)","Benzene Quantity NO Double Counts
(Mg/Qtr)",6BQ Quantity (Mg/Qtr),Notes
04/01/2013,LV-7,METRO,Metro - East of the ditch,OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,3,126,>90%,90.0%,1,2.07,All Groundwater,YES,429,<0.01,10%,0.76,"7,457.5",Remediation Oil,YES,36,0.27,YES,0.47,580.76,<0.001,<0.001,-,
04/01/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,4,168,>90%,90.0%,1,2.07,All Groundwater,YES,572,<0.01,10%,0.76,"7,457.5",Remediation Oil,YES,48,0.36,YES,0.62,580.76,<0.001,<0.001,-,
04/01/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),GASOLINE,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,12,504,<10%,10.0%,1,2.07,All Groundwater,YES,191,<0.01,90%,0.76,"7,457.5",Remediation Oil,YES,"1,299",9.69,YES,1.49,"6,503.68",<0.011,<0.011,-,
04/01/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 2 (clean truck),GASOLINE,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,15,630,<10%,10.0%,1,2.07,All Groundwater,YES,238,<0.01,90%,0.76,"7,457.5",Remediation Oil,YES,"1,624",12.11,YES,1.86,"6,503.68",0.01,0.01,-,
04/01/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 3 (clean truck),GASOLINE,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,8,336,<10%,10.0%,1,2.07,All Groundwater,YES,127,<0.01,90%,0.76,"7,457.5",Remediation Oil,YES,866,6.46,YES,0.99,"6,503.68",<0.011,<0.011,-,
04/01/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 4(clean truck),GASOLINE,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,6,252,<10%,10.0%,1,2.07,All Groundwater,YES,95,<0.01,90%,0.76,"7,457.5",Remediation Oil,YES,650,4.85,YES,0.75,"6,503.68",<0.001,<0.001,-,
04/01/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,YES,NO,50,"2,100",>90%,90.0%,1,11.33,T-101 Underground Storage Tank Aqueous,YES,"7,149",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,685,0.78,YES,7.83,110.47,<0.001,-,-,
04/01/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD - JOE R,NO, VAC PAD,NO,YES,60,"2,520",>90%,95.5%,1,0.1,Ultra Low Sulfur Diesel,NO,"9,103",<0.01,5%,0.84,10,Ultra Low Sulfur Diesel,NO,360,<0.01,YES,9.46,0.48,<0.001,<0.001,<0.001,
04/01/2013,LV-2,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - FLARE SUMP,WATER,PLANT 1 - VAC PAD - JOE R,NO, VAC PAD,NO,YES,10,420,99%,99.0%,1,4.03,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"1,573",<0.01,1%,0.73,"3,150","Knockout Water, Fuel Gas (Hydrocraker)",NO,12,0.04,YES,1.58,27.06,<0.001,<0.001,<0.001,
