,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Of-Line Quarterly Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)","Total Waste Quantity 
(Mg/Qtr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/Qtr)","Benzene Quantity NO Double Counts
(Mg/Qtr)",6BQ Quantity (Mg/Qtr),Notes
10/01/2013,LV-8,PLANT 1 - NORTH OF THE FENCELINE,PLANT 1 - NORTH OF THE FENCELINE,OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,62,"2,604",>90%,90.0%,,1.22,All Groundwater,YES,#VALUE!,#VALUE!,10%,0.79,"8,540",Remediation Oil,YES,779,6.65,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,
10/01/2013,LV-8,PLANT 1 - NORTH OF THE FENCELINE,PLANT 1 - NORTH OF THE FENCELINE,OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,62,"2,604",>90%,90.0%,,1.22,All Groundwater,YES,#VALUE!,#VALUE!,10%,0.79,"8,540",Remediation Oil,YES,779,6.65,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,
10/01/2013,LV-8,PLANT 1 - NORTH OF THE FENCELINE,PLANT 1 - NORTH OF THE FENCELINE,OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,62,"2,604",>90%,90.0%,,1.22,All Groundwater,YES,#VALUE!,#VALUE!,10%,0.79,"8,540",Remediation Oil,YES,779,6.65,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,
10/01/2013,LV-8,PLANT 1 - NORTH OF THE FENCELINE,PLANT 1 - NORTH OF THE FENCELINE,OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,62,"2,604",>90%,90.0%,,1.22,All Groundwater,YES,#VALUE!,#VALUE!,10%,0.79,"8,540",Remediation Oil,YES,779,6.65,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,
10/01/2013,LV-8,PLANT 1 - NORTH OF THE FENCELINE,PLANT 1 - NORTH OF THE FENCELINE,OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,62,"2,604",>90%,90.0%,,1.22,All Groundwater,YES,#VALUE!,#VALUE!,10%,0.79,"8,540",Remediation Oil,YES,779,6.65,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 27 - WATER DRAW,WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,10,420,99%,99.0%,1,4.17,sludge processing,NO,"1,573",<0.01,1%,1.07,417,sludge processing,NO,17,<0.01,YES,1.59,8.59,<0.001,<0.001,<0.001,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4513 - WATER DRAW,WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,13,546,99%,99.0%,1,4.17,sludge processing,NO,"2,044",<0.01,1%,1.07,417,sludge processing,NO,22,<0.01,YES,2.07,8.59,<0.001,<0.001,<0.001,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 27 - SLUDGE,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,NO,TO,NO,YES,20,840,<10%,10.0%,1,4.17,sludge processing,NO,318,<0.01,90%,1.07,417,sludge processing,NO,"3,062",1.28,YES,3.38,378.20,<0.001,<0.001,<0.001,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4513 - SLUDGE,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,NO,TO,NO,YES,20,840,<10%,99.0%,1,4.17,sludge processing,NO,"3,145",0.01,1%,1.07,417,sludge processing,NO,34,0.01,YES,3.18,8.59,<0.001,<0.001,<0.001,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - PROOPER PIT,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,5,210,99%,99.0%,,<0.01,Fourth Lagoon,YES,#VALUE!,#VALUE!,1%,0.85,<0.01,Fourth Lagoon,YES,7,<0.01,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
